Country.of.Origin,Number.of.Bags,Bag.Weight,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,altitude_mean_meters
Taiwan,5,30,7.25,7.17,7.08,7.08,7.08,8.08,10,10,10,7.17,80.92,0.11,688
Taiwan,10,20,7.42,7.25,7.25,7.25,7.25,7.25,10,10,10,7.25,80.92,0.11,300
Mexico,60,1,7.58,7.33,7.08,7.5,7.17,7.25,10,10,10,7,80.92,0.13,1186
Thailand,3,1,7.67,7.58,7.33,7.33,7.17,7,10,10,10,6.83,80.92,0,NA
Laos,20,50,7.42,7.33,7.17,7.17,7.17,7.25,10,10,10,7.33,80.83,0,1300
Guatemala,250,1,7.67,7.25,7.08,7.33,7.17,7.25,10,10,10,7.08,80.83,0.11,1200
Mexico,15,1,7.17,7.08,7.25,7.42,7.25,7.33,10,10,10,7.33,80.83,0.13,1210
Mexico,30,1,7.33,7.25,7.33,7.33,7.25,7.17,10,10,10,7.17,80.83,0.11,1100
Mexico,100,1,7.5,7.17,7.33,7.25,7.17,7.17,10,10,10,7.25,80.83,0.13,100
United States (Hawaii),7,100,7.42,7.33,7,7.25,7.33,7.5,10,10,10,7,80.83,0.1,NA
Colombia,250,70,7.33,7.33,7,6.83,7.33,7.67,10,10,10,7.33,80.83,0.01,1800
Brazil,320,60,7.17,7.25,7.08,7.17,7.25,7.58,10,10,10,7.25,80.75,0,NA
Myanmar,1,2,6.92,7.5,7,7.58,7.5,7.08,10,10,10,7.17,80.75,0,3825
Guatemala,275,69,7.5,7.33,7,7.42,7.17,7.17,10,10,10,7.17,80.75,0.12,1706.88
Nicaragua,275,69,7.25,7.25,7.17,7.25,7.33,7.25,10,10,10,7.25,80.75,0.12,110000
Honduras,275,1,7.5,7.33,7,7.42,7.25,7.17,10,10,10,7.08,80.75,0.11,1450
Panama,100,60,7.25,7.33,7.17,7.33,7.33,7.17,10,10,10,7.17,80.75,0.11,1680
Honduras,275,1,7.42,7.17,7.08,7.42,7.25,7.25,10,10,10,7.17,80.75,0.09,1350
Honduras,275,1,7.25,7.33,7.08,7.5,7.25,7.33,10,10,10,7,80.75,0.13,1450
Costa Rica,250,3,7.33,7.33,7.25,7.25,7.17,7.17,10,10,10,7.25,80.75,0.11,1300
Mexico,30,1,7.58,7.33,7.42,7.25,7.5,7.5,9.33,9.33,10,7.5,80.75,0.11,1200
Haiti,1,2,7.42,7,7.42,7.25,7.08,7.33,10,10,10,7.25,80.75,0.12,1000
United States (Hawaii),3,2,7.08,7.33,7.17,7.25,7.33,7.67,10,10,10,6.92,80.75,0.13,NA
Taiwan,160,1,7.33,7.08,7.08,7.08,7.42,7.33,10,10,10,7.33,80.67,0,NA
Indonesia,200,30,7.58,7.42,7,7.67,7.5,7.5,9.33,9.33,10,7.33,80.67,0.13,1350
Guatemala,150,60,7.67,7.42,6.83,7.17,7.42,7.17,10,10,10,7,80.67,0.11,1500
Costa Rica,240,1,7.83,7.5,7.67,7.67,7.83,7.5,6.67,10,10,8,80.67,0.11,185
Malawi,100,60,7.5,7.25,7.17,7.17,7.25,7.17,10,10,10,7.17,80.67,0.12,995
Mexico,20,1,7.25,7.17,7.17,7.25,7.17,7.42,10,10,10,7.25,80.67,0.12,1200
Colombia,250,70,7.67,7.5,7.42,7.67,7.5,7.75,10,10,6.67,8.5,80.67,0,1550
Guatemala,250,69,7.67,7.17,7,7.5,7,7,10,10,10,7.33,80.67,0.12,1550
Guatemala,250,1,7,7.33,7.5,7.33,7,7.33,10,10,10,7.17,80.67,0.11,NA
Guatemala,250,1,7,7.5,7.33,7.17,7.17,7.17,10,10,10,7.33,80.67,0.11,NA
Colombia,149,70,7.17,7.25,7.08,7.42,7.08,7.42,10,10,10,7.25,80.67,0.18,NA
Brazil,94,60,7.33,7.25,7.33,7.08,7.58,7.25,9.33,10,10,7.42,80.58,0.11,NA
Nicaragua,275,69,7.08,7.5,7,7.25,7.42,7,10,10,10,7.33,80.58,0.11,NA
"Tanzania, United Republic Of",10,60,7.25,7.08,7.08,7.33,7.33,7.25,10,10,10,7.25,80.58,0.12,1400
Brazil,300,2,7.42,7.25,7.33,7,7.08,7.25,10,10,10,7.25,80.58,0,1200
Honduras,275,69,7.5,7.17,7,7.42,7.33,7,10,10,10,7.17,80.58,0.11,1400
Guatemala,275,69,7.17,7.42,6.83,7.5,7.17,7.25,10,10,10,7.25,80.58,0.11,1383.792
United States (Hawaii),10,100,7.42,7.58,7.5,7.92,7.83,7.83,8.67,8.67,9.33,7.83,80.58,0,NA
Colombia,149,70,7.08,7.25,7,7.5,7.08,7.33,10,10,10,7.33,80.58,0,NA
Taiwan,20,5,7.17,7.17,7.17,7.42,7.17,7.25,10,10,10,7.17,80.5,0,50
Guatemala,275,69,7.33,7.25,7.08,7.17,7.25,7.17,10,10,10,7.25,80.5,0.1,1500
Honduras,15,69,7.58,7.33,7,7.17,7.33,7.08,10,10,10,7,80.5,0.11,1650
Mauritius,1,2,7.25,7.25,7.17,7.17,7.25,7.17,10,10,10,7.25,80.5,0.12,280
Brazil,300,60,7.25,7.33,7.17,7.5,7.33,7.25,9.33,10,10,7.33,80.5,0.11,1250
Myanmar,1,2,7.17,7.33,7.17,7.42,7.25,7.08,10,10,10,7.08,80.5,0,3800
Guatemala,275,69,7.5,7.17,6.83,7.5,7.17,7.17,10,10,10,7.17,80.5,0.11,1219.2
Brazil,300,60,7.42,7.42,7.08,7.33,7.67,7.5,9.33,9.33,10,7.42,80.5,0.1,1250
United States (Hawaii),10,100,7.42,7.33,7.33,7.58,7.58,7.42,8.67,10,10,7.17,80.5,0.11,NA
Guatemala,250,1,7.5,7.5,7,7.67,7.17,7,10,10,10,6.67,80.5,0.12,1859.28
Mexico,18,1,7.25,7.25,7.08,7.33,7.25,7.17,10,10,10,7.17,80.5,0.15,1450
Honduras,275,69,7.25,7.42,7,7.42,7.33,7,10,10,10,7,80.42,0.1,1450
Taiwan,10,60,7.58,7.17,7.17,7.17,7.17,7.17,10,10,10,7,80.42,0.14,600
El Salvador,2,2,7.33,7.17,7.08,7.08,7.33,7.17,10,10,10,7.25,80.42,0,1450
China,1,2,7.25,7.08,7.25,7.17,7.33,7.17,10,10,10,7.17,80.42,0.17,1700
Taiwan,10,30,7.25,7.25,7.17,7.25,7.25,7.25,10,10,10,7,80.42,0.11,600
Mexico,250,1,6.92,7.17,7.08,7.5,7.33,7.17,10,10,10,7.25,80.42,0.1,1050
Mexico,250,1,7.42,7.08,7.08,7.33,7.25,7.17,10,10,10,7.08,80.42,0.12,1550
Burundi,300,60,7.08,7.25,7.17,7.33,7.08,7.08,10,10,10,7.33,80.33,0.12,1700
"Tanzania, United Republic Of",10,60,7.25,7.17,7,7.25,7.42,7.08,10,10,10,7.17,80.33,0.13,1700
"Tanzania, United Republic Of",1,60,7.25,7.17,7.25,7.25,7.25,7.08,10,10,10,7.08,80.33,0.12,NA
Taiwan,10,30,7.25,7.25,7.08,7.25,7.25,7.25,10,10,10,7,80.33,0.11,600
Guatemala,250,69,7.33,7.33,6.83,7.5,7,7.17,10,10,10,7.17,80.33,0.11,1310.64
Mexico,10,1,7.25,7.08,7.08,7.33,7.33,7.17,10,10,10,7.08,80.33,0.11,940
United States (Hawaii),10,100,7.17,7.5,6.92,7.33,7.67,7.33,9.33,10,10,7.08,80.33,0.12,NA
Ethiopia,360,6,7.25,7.25,7.25,7.33,7.5,8,9.33,9.33,10,7.08,80.33,0.1,NA
Brazil,440,59,7.17,7.33,7.42,7.08,7,7,10,10,10,7.25,80.25,0.11,995
Honduras,275,69,7.25,7.25,7,7,7.42,7,10,10,10,7.33,80.25,0.1,1400
Mexico,60,69,7.25,7.17,7,7.33,7.33,7,10,10,10,7.17,80.25,0.1,1600
Myanmar,2,2,8,7.08,7,7.33,7.08,6.92,10,10,10,6.83,80.25,0.11,914.4
Myanmar,1,2,7.42,7,7.08,7,7.17,7.33,10,10,10,7.25,80.25,0,4287
Nicaragua,275,69,7.08,6.92,7,7.25,7.5,7.25,10,10,10,7.25,80.25,0.11,900
United States (Hawaii),2,100,7.5,7.08,7.67,7.67,7.42,7.58,9.33,9.33,9.33,7.33,80.25,0.12,NA
Colombia,1,2,7.42,8,7.83,7.75,8.08,7.58,8.67,8.67,8.67,7.58,80.25,0.1,NA
Taiwan,5,30,7.25,7.08,7.25,7.25,7.17,7.25,10,10,10,7,80.25,0.11,700
Guatemala,250,1,7,7.17,7.33,7.33,7,7.17,10,10,10,7.25,80.25,0.11,1400
Mexico,10,1,7.58,7.33,7.17,7.25,6.75,7,10,10,10,7.17,80.25,0.11,808
Vietnam,1,2,7.42,7.25,7.25,7.58,7.42,7.33,8.67,10,10,7.25,80.17,0,1550
Nicaragua,275,2,7.17,7.08,7.08,7.33,7.25,7.08,10,10,10,7.17,80.17,0.11,1187.5
Honduras,275,1,7.25,7.25,7,7.17,7.08,7.08,10,10,10,7.33,80.17,0.11,1400
Guatemala,250,69,7.33,7.33,7,7.17,7.17,7.17,10,10,10,7,80.17,0.11,1310.64
Mexico,20,1,7.33,7.08,6.92,7.42,7.25,7.08,10,10,10,7.08,80.17,0.11,1250
Mexico,15,1,7.58,7.42,7.33,7.5,7.08,7.17,8.67,10,10,7.42,80.17,0.14,1550
Mexico,15,1,7.33,7.33,7.17,7.08,7.25,7,10,10,10,7,80.17,0.12,1000
Guatemala,250,1,7.33,7.33,7,7.33,7,7,10,10,10,7.17,80.17,0.11,1310.64
United States (Hawaii),22,100,7.58,7.5,7.33,7.33,7.67,7.33,9.33,9.33,9.33,7.42,80.17,0.05,NA
Brazil,440,60,7.17,7.17,7,7.17,7.25,7.25,10,10,10,7.08,80.08,0.11,1100
Taiwan,10,60,7.42,7.25,7.25,7.17,7,7,10,10,10,7,80.08,0.07,850
Nicaragua,1,5,7.25,7.17,6.92,7.25,7.17,7.25,10,10,10,7.08,80.08,0.1,NA
Taiwan,10,30,7.25,7.25,7.25,7.25,7.08,7,10,10,10,7,80.08,0.11,200
Taiwan,10,30,7.25,7.25,7.25,7,7.25,7.08,10,10,10,7,80.08,0.11,150
Taiwan,10,30,7.25,7.25,7.25,7.08,7.17,7.08,10,10,10,7,80.08,0.11,250
Mexico,13,1,7.33,7.17,7.25,7.08,7.08,7.08,10,10,10,7.08,80.08,0.15,1300
Mexico,10,1,7.25,7.08,7,7.17,7.33,7.17,10,10,10,7.08,80.08,0.14,1300
Nicaragua,275,69,7.33,7.08,6.92,7.08,7.42,7.17,10,10,10,7,80,0.1,1250
Myanmar,1,2,7.17,7.33,7,7.42,7.17,7,10,10,10,6.92,80,0,3845
Mexico,280,2,7.58,7.75,7.42,7.5,7.5,7.5,8.67,8.67,10,7.42,80,0,1400
Taiwan,10,30,7.25,7.25,7.25,7,7.25,7,10,10,10,7,80,0.11,250
Thailand,2,1,7.33,6.67,7.08,7.42,7.42,7.08,10,10,10,7,80,0,800
Mexico,20,1,7.25,7.25,7.08,7.17,7.33,7.33,9.33,10,10,7.25,80,0.12,1250
Mexico,256,1,7.08,7.33,7,7.33,7.08,7,10,10,10,7.17,80,0.11,1100
Ethiopia,300,6,7.42,7.42,7.5,7.92,7.75,7.58,8.67,9.33,8.67,7.75,80,0.05,NA
Colombia,275,2,7.83,7.67,7.58,7.75,7.83,7.17,6.67,10,10,7.42,79.92,0,NA
United States (Hawaii),12,100,7.5,7,7,6.92,7.33,7.17,10,10,10,7,79.92,0.11,NA
Mexico,400,1,7.33,7.08,7.08,7.33,7.42,7.17,9.33,10,10,7.17,79.92,0.12,1300
Mexico,10,1,7.17,7.17,6.92,7.25,7.33,7.08,10,10,10,7,79.92,0.12,1100
Mexico,82,1,7.5,7.17,7,7.17,7.25,7.08,10,10,10,6.75,79.92,0,1100
Mexico,250,1,7.17,7.08,7.08,7.08,7.5,7.33,9.33,10,10,7.33,79.92,0.11,1100
Mexico,100,1,7.33,7.25,7,7.42,7.17,7.17,9.33,10,10,7.25,79.92,0.12,1250
Mexico,209,1,7.17,7.33,7.08,7.58,7.33,7.08,10,9.33,10,7,79.92,0.11,1250
United States (Hawaii),40,100,7.5,7.42,7.58,7.42,7.5,7.58,8.67,8.67,10,7.58,79.92,0.05,NA
Kenya,200,12000,7,7.08,7,7.17,7.25,7.25,10,10,10,7.08,79.83,0.11,1500
Guatemala,50,69,7.33,7.25,6.92,7.33,7.25,7.33,9.33,10,10,7.08,79.83,0.1,1700
Nicaragua,75,2,6.83,7.17,7.17,6.92,7.5,7.08,10,10,10,7.17,79.83,0.11,1250
Mexico,250,1,7.17,7.08,7,7.25,7.5,7,10,10,10,6.83,79.83,0.12,1300
United States (Hawaii),12,100,7.58,7.08,6.83,7.17,7.5,7.17,9.33,10,10,7.17,79.83,0.12,NA
Guatemala,25,69,7.5,7.42,7.25,7.58,7.33,7.42,9.33,9.33,9.33,7.25,79.75,0.1,190164
Taiwan,28,50,7.75,7.33,7.17,7.33,7.67,7.83,9.33,9.33,8.67,7.33,79.75,0,1000
Taiwan,50,20,7.08,7.08,7.25,7,7.17,7.17,10,10,10,7,79.75,0.1,600
Thailand,1,1,7.25,7.08,6.92,7.5,7.08,6.92,10,10,10,7,79.75,0.12,800
Peru,320,5,7,7.08,7,7.25,7.5,7.42,9.33,10,10,7.17,79.75,0.12,NA
Costa Rica,275,2,7.58,7.5,7.67,7.75,7.67,7.58,8,8,10,8,79.75,0.1,1100
Mexico,310,1,7.58,7.08,7,7,7.5,6.92,10,10,10,6.67,79.75,0.12,1400
Mexico,275,1,7.58,7.08,6.92,7.58,7.5,6.92,10,9.33,10,6.83,79.75,0.13,1022
Mexico,380,1,7.25,7.08,7,7.17,7.17,7.08,10,10,10,7,79.75,0.12,1300
Mexico,12,1,7.25,7.17,7.17,7.08,7.17,7,10,10,10,6.92,79.75,0.14,1450
Mexico,250,1,7.33,7.25,7,7.08,7.08,7,10,10,10,7,79.75,0.1,1050
Guatemala,275,69,7.58,7.33,7.5,7.33,7,7.33,9.33,9.33,9.33,7.67,79.75,0,NA
Mexico,36,1,7.25,6.83,6.92,7.08,7.25,7.08,10,10,10,7.33,79.75,0.12,1100
Guatemala,25,69,7.42,7.42,7.25,7.58,7.42,7.33,9.33,9.33,9.33,7.25,79.67,0.1,1219.2
El Salvador,275,69,7.25,7.08,7,6.83,7.33,7.17,10,10,10,7,79.67,0,1250
Thailand,1,1,6.92,7.17,6.83,7.42,7.17,7.08,10,10,10,7.08,79.67,0.12,800
Guatemala,250,69,7.5,7,6.83,7.08,7.08,7.17,10,10,10,7,79.67,0.11,1310.64
Mexico,310,1,7.42,7.25,6.83,7.58,7.17,6.58,10,10,10,6.83,79.67,0.12,1400
Mexico,10,1,7.33,7.17,7,6.75,7.08,7,10,10,10,7.33,79.67,0.13,975
Mexico,253,1,6.92,7.17,7.17,7.17,7.08,7.08,10,10,10,7.08,79.67,0,1264
Thailand,5,1,7.17,7.17,7,7,7.25,6.92,10,10,10,7.17,79.67,0,NA
Mexico,50,1,7.08,7,6.92,7.33,7.25,7.08,10,10,10,6.92,79.58,0.12,1250
Mexico,250,1,7.25,6.92,6.92,7.33,7.25,7,10,10,10,6.92,79.58,0.13,1550
Colombia,250,70,7.25,7.17,7,6.75,7.17,7.33,10,10,10,6.92,79.58,0.1,1800
Guatemala,223,69,7.08,7,6.83,7.33,7.25,7,10,10,10,7.08,79.58,0.17,1325.88
Nicaragua,275,69,6.92,6.92,7,7.42,7.25,7,10,10,10,7,79.5,0.12,1050
Taiwan,10,2,6.92,7,7.17,7,7.42,7,10,10,10,7,79.5,0,700
Colombia,250,70,7.83,7.5,7.42,7.42,7.67,7.5,10,6.67,10,7.5,79.5,0,1550
Mexico,250,1,7.25,7.08,6.92,7.25,7.58,7.08,9.33,10,10,7,79.5,0.12,1550
Mexico,127,1,7.25,7.33,7,7.25,7.17,7.17,9.33,10,10,7,79.5,0.12,1100
Guatemala,250,69,7.08,7.33,7.25,7.58,7.33,7.42,9.33,9.33,9.33,7.42,79.42,0.1,1219.2
Guatemala,275,69,7.25,7.33,6.83,7,7,7.17,10,10,10,6.83,79.42,0.1,1219.2
Mexico,10,1,7,6.83,6.83,7.42,7.33,7.17,10,10,10,6.83,79.42,0.13,800
Cote d?Ivoire,2,1,7.42,7.25,6.83,7,7.33,7.08,9.33,10,10,7.08,79.33,0.13,200
Colombia,250,3,7.42,7.25,6.75,7.25,7.42,7.25,9.33,9.33,10,7.33,79.33,0,1200
Mexico,30,1,7,7,6.83,7.33,7.42,6.92,10,10,10,6.83,79.33,0.14,950
Mexico,50,1,7.42,7.17,7.08,7.17,7.08,7.08,9.33,10,10,7,79.33,0.14,750
Guatemala,250,1,7.17,6.5,6.33,7.25,7.58,7.33,10,10,10,7.17,79.33,0.11,NA
Taiwan,50,20,7.08,6.83,6.83,7.25,7.42,7.08,10,10,10,6.75,79.25,0.11,850
Mexico,12,1,7,7,6.92,7.17,7.17,7.08,10,10,10,6.92,79.25,0.13,1000
Guatemala,50,69,7.33,7.42,7.33,7.42,7.5,7.42,8.67,9.33,9.33,7.42,79.17,0.1,1219.2
Honduras,15,69,7.58,7,6.75,6.92,7,6.92,10,10,10,7,79.17,0.11,1650
Guatemala,250,69,7.08,7,6.92,7.42,7,6.92,10,10,10,6.83,79.17,0.11,1320
Guatemala,275,69,7.25,7.17,6.75,7.25,7,6.92,10,10,10,6.83,79.17,0.11,1550
Costa Rica,1,2,7.17,7.42,7.5,8,7.25,7.83,10,10,6.67,7.33,79.17,0.1,NA
Mexico,10,1,7.25,7.08,6.92,7.08,7.17,7.17,9.33,10,10,7.17,79.17,0.14,1550
Mexico,53,1,7.17,6.92,6.92,7.08,7.17,7,10,10,10,6.92,79.17,0.14,1450
Mexico,250,6,6.75,6.75,6.83,7.25,7.58,7.08,10,10,10,6.92,79.17,0.01,1200
Guatemala,50,69,7.58,7.67,7.42,7.42,7.67,7.67,8.67,8.67,8.67,7.67,79.08,0.1,1700
United States (Puerto Rico),18,5,7.42,7.08,6.75,7.33,7.33,6.92,10,9.33,10,6.92,79.08,0.13,853.44
Mexico,13,1,7.33,7,6.92,7.25,7.33,7.08,9.33,10,10,6.83,79.08,0.16,1500
Mexico,10,1,7.25,7.08,6.75,7.33,7.42,7,9.33,10,10,6.92,79.08,0.11,1100
Mexico,10,1,7.17,7.25,7.25,7.17,7.25,7.08,9.33,9.33,10,7.25,79.08,0.1,1200
,149,70,6.75,6.75,6.42,6.83,7.58,7.5,10,10,10,7.25,79.08,0.1,NA
Guatemala,250,69,7.33,7.17,6.58,7.42,7.08,6.83,10,10,10,6.58,79,0.12,1219.2
Honduras,275,2,7,7,7,7,7,7,10,10,10,7,79,0.11,1350
Peru,280,69,7.67,7.17,7.08,7.25,8,7.5,8.67,9.33,9.33,7,79,0,1400
Mexico,14,1,6.75,7.08,6.67,7.25,7.17,7.08,10,10,10,7,79,0.12,1300
Mexico,16,1,7.5,7.17,6.92,7.5,7.25,7,8.67,10,10,7,79,0.14,1550
Mexico,120,1,7.17,6.83,6.83,7.25,7.17,6.92,10,10,10,6.83,79,0.14,12
Mexico,250,1,7.33,7,6.75,7.08,7.17,7.25,9.33,10,10,7,78.92,0.12,1300
Mexico,14,1,7.5,7,6.92,7.08,6.92,6.75,10,10,10,6.75,78.92,0.16,1400
Nicaragua,1,1,7.17,7,6.92,7,7,7,10,10,10,6.75,78.83,0.1,1100
United States (Hawaii),11,2,7.5,6.92,6.92,7.25,7.58,7.42,9.33,9.33,9.33,7.17,78.75,0.12,NA
Guatemala,250,69,7.33,7.08,6.33,7.25,7,7,10,10,10,6.75,78.75,0.12,1310.64
Mexico,20,1,7.25,6.83,6.83,7,7.17,7,10,10,10,6.67,78.75,0.14,1320
Mexico,35,1,7.25,7.33,7.17,7.25,7.08,7,8.67,10,10,7,78.75,0.14,1250
Mexico,10,1,7.67,7.17,6.83,7.33,7.58,7.17,9.33,10,8.67,7,78.75,0.12,1350
China,1,2,7,6.92,6.83,7.17,7.17,7.17,10,10,9.33,7.08,78.67,0,1850
Mexico,20,1,6.92,6.92,6.67,7.25,7.17,6.92,10,10,10,6.83,78.67,0.13,1150
Nicaragua,275,69,7.08,7,6.75,6.83,7.08,6.92,10,10,10,6.92,78.58,0.1,NA
Nicaragua,275,2,6.83,7.08,6.92,6.75,7.25,7.08,10,10,10,6.67,78.58,0.11,NA
Guatemala,250,69,7.33,7.17,6.92,7.58,7.25,7.17,8.67,9.33,10,7.17,78.58,0.12,1219.2
Taiwan,50,20,6.83,6.75,7.17,7.25,7,6.92,10,10,10,6.67,78.58,0.1,800
Mexico,250,1,7,7,6.75,7.33,6.92,6.92,10,10,10,6.67,78.58,0.13,1400
Mexico,50,1,7.92,7.58,7.58,7.92,7.92,7.5,8,6.67,10,7.5,78.58,0.1,1300
United States (Hawaii),8,100,7.92,6.83,7.08,7.42,6.75,7.33,8.67,9.33,10,7.25,78.58,0,NA
Mexico,280,69,7.25,6.75,6.92,6.92,7.25,7.58,9.33,9.33,10,7.17,78.5,0,1600
Mexico,10,1,7.08,6.83,6.83,7,7,6.92,10,10,10,6.83,78.5,0.12,1400
Mexico,20,1,7.25,7.17,7,6.83,7.58,7.08,8.67,10,10,6.92,78.5,0.13,1200
Brazil,300,60,6.83,7,6.92,7.08,6.92,6.83,10,10,10,6.83,78.42,0.12,NA
Mexico,10,1,7.58,7.17,7,7.17,7.33,7,8,10,10,7.17,78.42,0.14,1500
United States (Hawaii),5,100,7.5,7.75,7.58,7.83,7.92,7.92,7.33,8,8.67,7.83,78.33,0.1,NA
Guatemala,275,69,7.17,6.5,6.67,7,7.17,7.17,10,10,10,6.67,78.33,0.1,1219.2
Guatemala,250,1,7.17,7.17,6.5,7.17,7,6.83,10,10,10,6.5,78.33,0.11,1310.64
Mexico,100,1,7.25,7.25,7,7.5,7.33,7.42,8,9.33,10,7.75,78.33,0.13,1300
Guatemala,250,1,7.17,6.08,6.17,7.25,7.33,7.33,10,10,10,7,78.33,0.11,NA
United States (Hawaii),18,100,7.5,7.5,7.33,7.58,7.5,7.42,8.67,8.67,8.67,7.42,78.25,0.11,NA
United States (Hawaii),5,100,7.42,7.33,7.33,7.5,7.67,7.75,8,8.67,9.33,7.25,78.25,0.11,NA
Indonesia,2,1,6.92,6.83,6.92,6.92,6.92,6.83,10,10,10,6.83,78.17,0.13,1300
Mexico,320,1,7.08,6.83,6.67,7.25,7.25,6.92,10,9.33,10,6.75,78.08,0.11,1050
Taiwan,8,10,7.5,7.08,7.33,7.17,7.5,7.5,6.67,10,10,7.25,78,0,650
Honduras,275,2,6.83,7,6.67,7,7,6.83,10,10,10,6.67,78,0.11,1350
United States (Hawaii),5,100,7.58,7.33,7.5,7.42,7.5,7.33,8,8.67,9.33,7.33,78,0.12,NA
Guatemala,275,69,7.42,7.25,6.83,7.33,7,6.92,9.33,9.33,9.33,7.25,78,0.1,1219.2
China,16,2,7.33,7.17,6.92,7.08,7.33,7,9.33,9.33,9.33,7.17,78,0.1,1200
Guatemala,250,69,7,6.83,6.83,7.17,6.67,6.83,10,10,10,6.67,78,0.11,1310.64
Mexico,10,1,7.25,7.33,7,7,7.25,7.08,10,10,8,7.08,78,0.12,850
Colombia,202,70,7.42,7.17,7,7.17,7.67,7.17,8.67,9.33,9.33,7.08,78,0.1,NA
Costa Rica,250,1,7.5,7.25,7.42,7,7.08,6.83,8.67,9.33,10,6.83,77.92,0.12,1200
Mexico,50,1,7.42,7.25,7,7,7.25,7.08,8,10,10,6.92,77.92,0.11,1248
Guatemala,250,1,7.17,6.17,6.17,7.08,7.33,6.83,10,10,10,7.17,77.92,0.11,NA
Nicaragua,275,69,7.42,7,7,7.17,7.08,7,9.33,8.67,10,7.17,77.83,0.1,1000
Brazil,1,5,7,6.75,6.67,6.83,7.08,6.83,10,10,10,6.67,77.83,0.11,NA
Guatemala,250,1,7,6.83,6.67,7.17,6.83,6.83,10,10,10,6.5,77.83,0.11,1310.64
Taiwan,100,10,7.17,6.75,6.58,7.33,7.33,7.17,9.33,9.33,10,6.67,77.67,0.11,775
United States (Hawaii),5,100,7.58,7.67,7.58,7.67,7.42,7.42,9.33,9.33,6,7.58,77.58,0.12,NA
Mexico,23,1,7.17,6.75,6.58,6.75,6.83,6.75,10,10,10,6.67,77.5,0.13,1300
Guatemala,250,1,7.08,6.92,6.33,7,6.92,7,10,10,10,6.17,77.42,0.11,1310.64
Brazil,320,60,7.5,7.33,7.42,7.58,7.58,6.92,8,8,10,7,77.33,0,890
Guatemala,275,69,7.33,7,6.83,7.17,7.17,7.17,9.33,9.33,9.33,6.67,77.33,0.1,1219.2
Mexico,10,1,7.33,7,6.67,7,6.92,6.92,9.33,9.33,10,6.83,77.33,0.15,1500
Haiti,1,4,6.83,6.83,6.83,6.75,6.92,6.92,9.33,10,10,6.83,77.25,0.1,825
United States (Hawaii),9,2,7.08,6.92,6.83,6.67,7.58,7.42,8.67,9.33,10,6.75,77.25,0.12,NA
Mexico,10,1,7.08,7,7,7.25,7.33,7.25,8.67,8.67,10,6.92,77.17,0.12,1200
Peru,275,2,7.42,7.75,7.42,7.67,7.92,7.83,8.67,5.33,9.33,7.67,77,0,1200
India,20,50,7.67,7.33,7.17,6.67,7.17,7.42,9.33,10,6.67,7.42,76.83,0,NA
Mexico,250,6,6.67,6.33,6.42,6.83,7,6.92,10,10,10,6.58,76.75,0,1200
Guatemala,250,2,6.42,6.5,6.5,7.33,6.33,6.92,10,10,10,6.5,76.5,0.12,NA
Mexico,10,1,7.17,6.58,6.58,7,7.25,6.58,9.33,9.33,10,6.58,76.42,0.13,1100
Guatemala,250,69,7.5,7,6.83,7.5,7.17,7.33,8.67,8.67,8.67,7,76.33,0.11,1310.64
Guatemala,250,2,6.17,6.5,6.5,7.17,7,6.83,10,10,10,6.17,76.33,0.11,NA
United States (Hawaii),2,100,7.25,7.08,6.83,7.17,7.33,6.83,8.67,8.67,9.33,7.08,76.25,0,NA
United States (Hawaii),6,100,7.5,7.33,7.33,7.58,7.67,7.25,8,8,8,7.5,76.17,0,NA
Mexico,11,1,7.42,7,6.83,7.08,6.92,6.83,7.33,10,10,6.75,76.17,0.16,1400
Indonesia,15,2,7.33,7,6.5,6.08,7.58,6.33,9.33,10,9.33,6.67,76.17,0.12,3500
Mexico,20,1,7.08,6.83,6.83,7.17,7.17,7.08,10,7.33,10,6.58,76.08,0.12,1250
Honduras,275,2,6.83,6.83,6.67,6.83,7,6.83,9.33,8.67,10,7,76,0.11,1350
Philippines,1,2,6.83,6.5,6.5,6.92,6.75,7,9.33,10,9.33,6.67,75.83,0.12,1000
Brazil,440,59,7.17,7,6.83,7.5,7.17,7,8,8,10,7,75.67,0.11,NA
Guatemala,250,1,7.92,7.58,7.17,7.58,7.33,7.17,8,8,8,6.83,75.58,0.11,1310.64
Guatemala,250,1,6.67,6.5,6.33,7,7.17,6.75,8.67,10,10,6.5,75.58,0.12,NA
Mexico,10,1,7.5,7.25,6.92,7,7.17,6.83,8,8,10,6.83,75.5,0.11,1100
Mexico,100,1,7.17,6.92,6.67,6.83,7.25,7.75,10,6,10,6.58,75.17,0.11,1200
Mexico,36,1,7.25,6.83,6.67,7.08,7.17,6.83,10,6.67,10,6.67,75.17,0.12,1100
Mexico,18,1,7.17,7.17,6.83,7.17,7.42,6.67,8.67,7.33,10,6.75,75.17,0.13,1280
Mexico,43,1,7,6.92,6.75,6.92,7.17,6.83,10,6.67,10,6.75,75,0.14,850
Mexico,14,1,7.08,6.75,6.58,7,7,6.75,8.67,8.67,10,6.42,74.92,0.17,1500
Mexico,20,1,7.33,6.75,6.67,7.25,7.5,7,10,5.33,10,7,74.83,0.12,1250
